city,latitude,longitude,newspaper,urls,date,民主,戰,民主主義,民主化,公民,共和國,國家,憲法,民權,主權,戰爭,大戰,世界大戰,失敗,投降,佔領,侵占,海軍,陸軍,空軍,日空軍,日軍,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19140308-01.1.1,1914-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281023-01.1.1,1928-10-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281024-01.1.1,1928-10-24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281025-01.1.1,1928-10-25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281026-01.1.1,1928-10-26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281027-01.1.1,1928-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281028-01.1.1,1928-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281029-01.1.1,1928-10-29,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281030-01.1.1,1928-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281031-01.1.1,1928-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281101-01.1.1,1928-11-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281105-01.1.1,1928-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281106-01.1.1,1928-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281107-01.1.1,1928-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281108-01.1.1,1928-11-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281109-01.1.1,1928-11-09,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281110-01.1.1,1928-11-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281111-01.1.1,1928-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281112-01.1.1,1928-11-12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281113-01.1.1,1928-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281114-01.1.1,1928-11-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281115-01.1.1,1928-11-15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281116-01.1.1,1928-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281117-01.1.1,1928-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281118-01.1.1,1928-11-18,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281119-01.1.1,1928-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281120-01.1.1,1928-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281121-01.1.1,1928-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beijing,39.916668,116.383331,Shi bao (實報),https://gpa.eastview.com/crl/lqrcn/newspapers/sbao19281122-01.1.1,1928-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
